time,regions,populationin1
2032,FSU,3.048257405903738e8
2032,MDE,3.763774861098319e8
2032,CAM,1.81356253748769e8
2032,LAM,4.714657945835816e8
2032,SAS,2.0248460836743393e9
2032,SEA,7.959390645208057e8
2032,CHI,1.4439526731794693e9
2032,MAF,2.3468203254198062e8
2032,SSA,1.4194223951528316e9
2032,SIS,6.158837606210551e7
2033,USA,3.555279773869414e8
2033,CAN,4.121404750493823e7
2033,WEU,4.3153428485197717e8
2033,JPK,1.7640883321678406e8
2033,ANZ,3.096132047196424e7
2033,EEU,1.0510790223578167e8
2033,FSU,3.046797689193727e8
2033,MDE,3.7994206571256614e8
2033,CAM,1.8293105715274042e8
2033,LAM,4.736966557559885e8
2033,SAS,2.0410739385709763e9
2033,SEA,8.000984359162058e8
2033,CHI,1.440228336154825e9
2033,MAF,2.369310280176761e8
2033,SSA,1.4476399115046134e9
2033,SIS,6.1906310811330095e7
2034,USA,3.567317095373064e8
2034,CAN,4.130490033021504e7
2034,WEU,4.314671855832745e8
2034,JPK,1.7568313838983652e8
2034,ANZ,3.10505929116225e7
2034,EEU,1.0458095701123887e8
2034,FSU,3.045335823283668e8
2034,MDE,3.8350505825603324e8
2034,CAM,1.8450477049169534e8
2034,LAM,4.759269412606266e8
2034,SAS,2.0572998255662506e9
2034,SEA,8.042571833704052e8
2034,CHI,1.4365044599662218e9
2034,MAF,2.39179504129965e8
2034,SSA,1.4758561378109667e9
2034,SIS,6.2224038385220416e7
2035,USA,3.57936239965381e8
2035,CAN,4.139577267595689e7
2035,WEU,4.313996042645356e8
2035,JPK,1.7495703443925822e8
2035,ANZ,3.1139865340916675e7
2035,EEU,1.0405449011220238e8
2035,FSU,3.0438717091186064e8
2035,MDE,3.870664789123261e8
2035,CAM,1.86077403059957e8
2035,LAM,4.7815665294885606e8
2035,SAS,2.0735237506655917e9
2035,SEA,8.084153083998649e8
2035,CHI,1.4327810443690658e9
2035,MAF,2.4142745692344373e8
2035,SSA,1.5040709101057065e9
2035,SIS,6.254155964663304e7
2036,USA,3.588496514840538e8
2036,CAN,4.144461155815077e7
2036,WEU,4.3118103394108456e8
2036,JPK,1.7408550230020443e8
2036,ANZ,3.120379539936992e7
2036,EEU,1.0348433439025907e8
2036,FSU,3.042529911239864e8
2036,MDE,3.903358737272026e8
2036,CAM,1.8746505789136562e8
2036,LAM,4.798486767027346e8
2036,SAS,2.0872034890026233e9
2036,SEA,8.115291796983049e8
2036,CHI,1.4274428082323613e9
2036,MAF,2.435459275917453e8
2036,SSA,1.532238910083905e9
2036,SIS,6.279058792429456e7
2037,USA,3.597635904075707e8
2037,CAN,4.149338789949828e7
2037,WEU,4.3096183390048224e8
2037,JPK,1.7321348310677445e8
2037,ANZ,3.126772545101981e7
2037,EEU,1.0291471359690687e8
2037,FSU,3.041185611703183e8
2037,MDE,3.9360384632507205e8
2037,CAM,1.8885176921349075e8
2037,LAM,4.815402682896026e8
2037,SAS,2.1008816275046716e9
2037,SEA,8.146425942285936e8
2037,CHI,1.4221052342250423e9
2037,MAF,2.4566393556035435e8
2037,SSA,1.5604066805552998e9
2037,SIS,6.303945362929448e7
2038,USA,3.606780559826305e8
2038,CAN,4.154210165160067e7
2038,WEU,4.307420031391874e8
2038,JPK,1.7234097415799996e8
