time,regions,populationin1
2038,EEU,1.2764623377273431e8
2038,FSU,2.952396423631696e8
2038,MDE,4.262071744834771e8
2038,CAM,1.7995533701509264e8
2038,LAM,4.834979849047767e8
2038,SAS,2.0658420778601089e9
2038,SEA,7.788229747691334e8
2038,CHI,1.6118955869949698e9
2038,MAF,2.7516735669115126e8
2038,SSA,1.25292195375919e9
2038,SIS,6.217844264248001e7
2039,USA,2.997865747919039e8
2039,CAN,3.3806197239411674e7
2039,WEU,3.97718731541636e8
2039,JPK,2.134628798950498e8
2039,ANZ,2.6120699394431338e7
2039,EEU,1.2764616699418475e8
2039,FSU,2.952328184773772e8
2039,MDE,4.296163012186473e8
2039,CAM,1.808547820163104e8
2039,LAM,4.859141699065591e8
2039,SAS,2.081324784460688e9
2039,SEA,7.846624421048195e8
2039,CHI,1.615921131257239e9
2039,MAF,2.780518236082001e8
2039,SSA,1.2659737424518993e9
2039,SIS,6.248646144427393e7
2040,USA,2.997940970430762e8
2040,CAN,3.380795734735021e7
2040,WEU,3.977291984333164e8
2040,JPK,2.139972643624231e8
2040,ANZ,2.618805218995677e7
2040,EEU,1.2764610162548351e8
2040,FSU,2.952261222700948e8
2040,MDE,4.329453009691813e8
2040,CAM,1.8175872690658677e8
2040,LAM,4.883424469479827e8
2040,SAS,2.0969236615836425e9
2040,SEA,7.905457131579758e8
2040,CHI,1.6199567876646223e9
2040,MAF,2.8089709274047226e8
2040,SSA,1.2788472156425638e9
2040,SIS,6.279602984699619e7
2041,USA,2.9980163200496763e8
2041,CAN,3.380971717037039e7
2041,WEU,3.9773972552631694e8
2041,JPK,2.1453298035898012e8
2041,ANZ,2.625557093507165e7
2041,EEU,1.2764603758004421e8
2041,FSU,2.9521954585980725e8
2041,MDE,4.3619186826397926e8
2041,CAM,1.826671940813136e8
2041,LAM,4.907828763708631e8
2041,SAS,2.112639580633575e9
2041,SEA,7.964731165518396e8
2041,CHI,1.6240025812405207e9
2041,MAF,2.837013301790845e8
2041,SSA,1.2915340660744817e9
2041,SIS,6.310715607094316e7
2042,USA,2.9979419009843236e8
2042,CAN,3.380978636111079e7
2042,WEU,3.977304262515383e8
2042,JPK,2.150378512699437e8
2042,ANZ,2.631931769239121e7
2042,EEU,1.2763959247647807e8
2042,FSU,2.9519832105570877e8
2042,MDE,4.3935374095077485e8
2042,CAM,1.835345393996986e8
2042,LAM,4.931128233647829e8
2042,SAS,2.1279452604273543e9
2042,SEA,8.022458651652168e8
2042,CHI,1.6278149363384857e9
2042,MAF,2.86462712933175e8
2042,SSA,1.3040260352424655e9
2042,SIS,6.340407137022037e7
2043,USA,2.9977181858520967e8
2043,CAN,3.380817686717602e7
2043,WEU,3.977013358702016e8
2043,JPK,2.1551165607288185e8
2043,ANZ,2.637927711038129e7
2043,EEU,1.2762676688389294e8
2043,FSU,2.9516244312891775e8
2043,MDE,4.4242870290165716e8
2043,CAM,1.8436012558807704e8
2043,LAM,4.953305684950736e8
2043,SAS,2.1428299106419973e9
2043,SEA,8.078599018117107e8
2043,CHI,1.6313921081685045e9
2043,MAF,2.89179431814465e8
2043,SSA,1.316314928876783e9
2043,SIS,6.368652964739009e7
2044,USA,2.997345178098433e8
2044,CAN,3.380488836790248e7
2044,WEU,3.976524545422994e8
2044,JPK,2.159541793617962e8
2044,ANZ,2.6435421679335594e7
2044,EEU,1.2760756233294153e8
2044,FSU,2.9511190994484574e8
2044,MDE,4.454145865910525e8
2044,CAM,1.8514334151401487e8
2044,LAM,4.97434470091054e8
2044,SAS,2.157283038839453e9
