country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gini,gdpshare_quint,ypc_quint,ypc_rel,fundregion,regionname
TKM,q1,0.2,0.09542361904700938,0.17371315390831793,5087.213,37.4197200458013,0.4077,0.054916845140352485,2019.7433948122612,0.27458422570176244,FSU,Former Soviet Union
TON,q1,0.2,0.07932972975367117,0.0948989291942906,103.986,0.42274293433913285,0.381,0.06118951697366834,1243.7941624950824,0.30594758486834167,SIS,Small Island States
TTO,q1,0.2,0.13889777412809004,0.2381247565303381,1328.147,30.961003519141737,0.4027,0.056060434583869265,6534.243997222414,0.28030217291934634,SIS,Small Island States
TUN,q1,0.2,0.10677471709520221,0.13263969945508397,10635.244,90.36665459033907,0.4181,0.05258354512245965,2233.986855034459,0.26291772561229826,MAF,North Africa
TUR,q1,0.2,0.11083205590142209,0.1805241062695154,72326.988,912.795531850223,0.4004,0.05659126639143092,3571.0221407148765,0.2829563319571546,MDE,Middle East
TZA,q1,0.2,0.09419551267052852,0.09541756434916435,44346.525,56.24235848107449,0.4378,0.04832994816745432,306.47161984007937,0.24164974083727161,SSA,Sub-Saharan Africa
UGA,q1,0.2,0.08398912784025789,0.09409338667656199,32428.167,38.150724958789226,0.4898,0.03812114238950037,224.2416628754671,0.19060571194750187,SSA,Sub-Saharan Africa
UKR,q1,0.2,0.15666946780242624,0.4241776648355214,45792.09,276.5484230127072,0.2455,0.09959515536333227,3007.3843709071925,0.4979757768166614,FSU,Former Soviet Union
URY,q1,0.2,0.13073348534542867,0.21664372384084077,3359.275,43.309135496432084,0.4337,0.049197426848512665,3171.3658832010487,0.2459871342425633,LAM,South America
USA,q1,0.2,0.14331408731150713,0.3842903150662513,309011.475,13084.55659,0.40259327,0.05608500073567654,11874.111891413602,0.28042500367838274,USA,United States
UZB,q1,0.2,0.10357010804017036,0.18389068178009305,28515.909,78.64829417327228,0.3527,0.06829017825765922,941.7385272118776,0.34145089128829614,FSU,Former Soviet Union
VCT,q1,0.2,0.11835868054548127,0.13212011910843918,108.255,1.0830206594966636,0.492780875,0.03757965853860803,1879.7998510065445,0.18789829269304015,SIS,Small Island States
VEN,q1,0.2,0.10688205851526751,0.1651761395124402,28439.94,316.3966012244212,0.4694,0.041952809203862365,2333.641745362098,0.20976404601931184,LAM,South America
VNM,q1,0.2,0.13016757911857005,0.19163139626163345,87967.651,249.92344410750056,0.4669,0.04243762427214932,602.8441760844347,0.2121881213607466,SEA,Southeast Asia
VUT,q1,0.2,0.10386738365334494,0.1118319124672008,236.211,0.9565630385219908,0.4318,0.04960258632422469,1004.3562893525221,0.24801293162112348,SIS,Small Island States
WSM,q1,0.2,0.07802746945419509,0.09081135294195905,185.949,0.7218842878104964,0.4869,0.03865241234135322,750.2747838169448,0.1932620617067661,SIS,Small Island States
YEM,q1,0.2,0.17230993028859926,0.07517684450123403,23154.855,,0.4189,0.05240658630276606,,,MDE,Middle East
ZAF,q1,0.2,0.09842959773538379,0.1409327798362965,51216.964,473.7724133922748,0.6938,0.011048850376347565,511.0260448093262,0.055244251881737816,SSA,Sub-Saharan Africa
ZMB,q1,0.2,0.09280224461692574,0.09901039507268876,13605.984,18.111837393999384,0.6162,0.01907299799892008,126.94673107528133,0.0953649899946004,SSA,Sub-Saharan Africa
AFG,q2,0.2,0.16091128735201177,0.07212833871288075,29185.507,37.23728418322597,0.338,0.11955428857625687,762.6862570928582,0.5977714428812844,SAS,South Asia
AGO,q2,0.2,0.1468166715212331,0.07373623720564837,23356.246,105.89344662859713,0.4872,0.08061631022065191,1827.5066429222045,0.40308155110325955,SSA,Sub-Saharan Africa
ALB,q2,0.2,0.14652464847612712,0.2135003714471429,2948.023,24.568445171853057,0.29215,0.13162514118904367,5484.735133580093,0.6581257059452184,EEU,Central & Eastern Europe
ARE,q2,0.2,0.14001631013094523,0.17820024837471052,8549.988,318.1423059818006,0.414804506,0.0993084015519169,18476.16854730876,0.4965420077595844,MDE,Middle East
ARG,q2,0.2,0.1414654780589096,0.13074887302051305,40895.752,580.4274305865966,0.4357,0.09385330061481291,6660.230887541487,0.46926650307406453,LAM,South America
ARM,q2,0.2,0.16101732383963277,0.2959291987742832,2877.319,15.152619472187178,0.3132,0.12609538555886915,3320.235598785311,0.6304769277943457,FSU,Former Soviet Union
AUS,q2,0.2,0.1357343940718327,0.29895648044371576,22154.679,,0.3494,0.11654270895421927,,,ANZ,Australia & New Zealand
AUT,q2,0.2,0.11472732330589208,0.21822581478906383,8409.949,296.8320908711133,0.26106634,0.1397282865204882,24658.793675035664,0.6986414326024409,WEU,Western Europe
AZE,q2,0.2,0.14162161194155315,0.3181461265891165,9032.461,80.69556138880493,0.1664,0.16359564968136375,7307.77735536523,0.8179782484068188,FSU,Former Soviet Union
