region,quint,age,ageall,agemig_reg,index
CAN,1,85,88,0.0,2
CAN,1,85,89,0.0,2
CAN,1,90,90,0.0,2
CAN,1,90,91,0.0,2
CAN,1,90,92,0.0,2
CAN,1,90,93,0.0,2
CAN,1,90,94,0.0,2
CAN,1,95,95,0.0,2
CAN,1,95,96,0.0,2
CAN,1,95,97,0.0,2
CAN,1,95,98,0.0,2
CAN,1,95,99,0.0,2
CAN,1,100,100,0.0,2
CAN,1,100,101,0.0,2
CAN,1,100,102,0.0,2
CAN,1,100,103,0.0,2
CAN,1,100,104,0.0,2
CAN,1,105,105,0.0,2
CAN,1,105,106,0.0,2
CAN,1,105,107,0.0,2
CAN,1,105,108,0.0,2
CAN,1,105,109,0.0,2
CAN,1,110,110,0.0,2
CAN,1,110,111,0.0,2
CAN,1,110,112,0.0,2
CAN,1,110,113,0.0,2
CAN,1,110,114,0.0,2
CAN,1,115,115,0.0,2
CAN,1,115,116,0.0,2
CAN,1,115,117,0.0,2
CAN,1,115,118,0.0,2
CAN,1,115,119,0.0,2
CAN,1,120,120,0.0,2
CAN,2,0,0,0.12335762385685795,2
CAN,2,0,1,0.12335762385685795,2
CAN,2,0,2,0.09489047988989072,2
CAN,2,0,3,0.07591238391191257,2
CAN,2,0,4,0.05693428793393443,2
CAN,2,5,5,0.09052691263524448,2
CAN,2,5,6,0.07759449654449528,2
CAN,2,5,7,0.06466208045374607,2
CAN,2,5,8,0.05172966436299685,2
CAN,2,5,9,0.03879724827224764,2
CAN,2,10,10,0.0033547409996793963,2
CAN,2,10,11,0.0028754922854394823,2
CAN,2,10,12,0.0023962435711995687,2
CAN,2,10,13,0.001916994856959655,2
CAN,2,10,14,0.0014377461427197411,2
CAN,2,15,15,0.03720600253195993,2
CAN,2,15,16,0.03189085931310851,2
CAN,2,15,17,0.02657571609425709,2
CAN,2,15,18,0.021260572875405673,2
CAN,2,15,19,0.015945429656554252,2
CAN,2,20,20,0.3116558340550851,2
CAN,2,20,21,0.26713357204721583,2
CAN,2,20,22,0.22261131003934653,2
CAN,2,20,23,0.17808904803147724,2
CAN,2,20,24,0.13356678602360791,2
CAN,2,25,25,0.32911913092246925,2
